genre,au_count,au_pct
Indie,134,46.21
Action,121,41.72
Adventure,98,33.79
Simulation,86,29.66
Strategy,70,24.14
Casual,68,23.45
Sports,46,15.86
RPG,39,13.45
Free To Play,17,5.86
Racing,14,4.83
Early Access,13,4.48
Massively Multiplayer,5,1.72
Violent,1,0.34
Gore,1,0.34
