AppID,Name,Release date,release_year,studio_name,studio_city,studio_state,studio_state_full,studio_type,studio_tags,Price,owners_estimate,Peak CCU,Positive,Negative,total_reviews,review_pct_positive,Metacritic score,Recommendations,Average playtime forever,Median playtime forever,Windows,Mac,Linux,Genres,Categories,Tags,Supported languages,Developers,Publishers
284140,Majestic Nights,2014-10-30,2014,Epiphany Games,Sydney,NSW,New South Wales,Studio,,4.99,35000.0,0,61,51,112,54.5,32,0,80,92,True,True,True,"Action,Adventure,Indie,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Adventure,RPG,Action,Indie,1980s,Stealth,Female Protagonist,Comedy,Great Soundtrack,Story Rich,Isometric",['English'],Epiphany Games,Epiphany Games
328920,F-117A Nighthawk Stealth Fighter 2.0,2014-10-30,2014,MicroProse,,,,Publisher,,4.54,10000.0,1,114,18,132,86.4,,116,7,7,True,False,True,Simulation,"Single-player,Family Sharing","Simulation,Flight,Classic,Stealth,Retro,1990's",['English'],MicroProse Software,MicroProse Software
897530,Retroids,2018-08-06,2018,Chaos Theory Games,Sydney,NSW,New South Wales,Service,PC,1.99,10000.0,0,1,1,2,50.0,,0,0,0,True,False,False,"Action,Casual,Indie,Early Access","Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Stats,Steam Leaderboards,Family Sharing","Action,Indie,Casual,Early Access",['English'],Chaos Theory Studios Ltd.,Chaos Theory Studios Ltd.
1286990,CONSCRIPT: Director’s Cut,2024-07-23,2024,Catch Weight Studio,Melbourne,VIC,Victoria,Studio,Console|PC,6.79,350000.0,15,1362,114,1476,92.3,80,1543,314,419,True,False,False,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Playable without Timed Input,Stereo Sound,Steam Cloud,Family Sharing","Survival Horror,Horror,World War I,Atmospheric,Isometric,Pixel Graphics,Top-Down,Inventory Management,Historical,Action-Adventure,Psychological Horror,Multiple Endings,Military,War,Alternate History,Dark,Survival,2D,Exploration,Adventure","['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']","Jordan Mochi,Catchweight Studio",Team17
3246100,SPiNG,2025-06-19,2025,SMG Studio,Sydney,NSW,New South Wales,Studio,Console|PC|Mobile,3.49,10000.0,0,0,0,0,,,0,0,0,True,True,False,"Casual,Indie","Single-player,Steam Achievements,Full controller support,Custom Volume Controls,Keyboard Only Option,Mouse Only Option,Touch Only Option,Steam Cloud,Steam Leaderboards,Family Sharing",,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Dutch', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Turkish', 'Portuguese - Brazil']",SMG Studio,SMG Studio
544610,Battlestar Galactica Deadlock,2017-08-31,2017,Black Lab Games,Leederville,WA,Western Australia,Studio,PC,0.0,350000.0,63,2906,554,3460,84.0,77,2592,466,119,True,False,False,Strategy,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Family Sharing","Strategy,Space,Sci-fi,Turn-Based,Turn-Based Strategy,Turn-Based Tactics,Singleplayer,War,Simulation,Turn-Based Combat,Multiplayer,Tactical,Replay Value,Atmospheric,4X,Great Soundtrack,Co-op,Controller,Action,Adventure","['English', 'French', 'German', 'Spanish - Spain', 'Russian']",Black Lab Games,Slitherine Ltd.
757600,Hotel Transylvania 3: Monsters Overboard,2018-07-10,2018,Torus Games,Melbourne,VIC,Victoria,Studio,Console|PC,6.24,10000.0,0,19,13,32,59.4,,0,0,0,True,False,False,Adventure,"Single-player,Steam Achievements,Full controller support,Remote Play on TV,Family Sharing","Vampire,Action-Adventure,Colorful,Family Friendly,Gothic,Action,Cartoon,Singleplayer,Adventure,3D,Comedy,Fantasy,Cartoony,RPG,Anime,Co-op,Turn-Based Strategy,Exploration,Wholesome,Economy","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil']",Torus Games,Outright Games Ltd.
984070,Chaos Theory,2019-02-01,2019,Chaos Theory Games,Sydney,NSW,New South Wales,Service,PC,13.99,10000.0,0,6,10,16,37.5,,0,0,0,True,False,False,"Adventure,Indie,RPG,Simulation,Strategy,Early Access","Single-player,Full controller support,Family Sharing","Adventure,Indie,Simulation,RPG,Strategy,Early Access,Open World,Sandbox,Survival,Third Person,City Builder,Fantasy,Singleplayer",['English'],Chaos Theory Studios Ltd.,Chaos Theory Studios Ltd.
327380,Sid Meier's Pirates! Gold Plus (Classic),2014-10-09,2014,MicroProse,,,,Publisher,,1.39,35000.0,0,50,37,87,57.5,,102,29,20,True,True,True,"Adventure,Simulation","Single-player,Family Sharing","Adventure,Simulation,Pirates,Classic,Singleplayer","['English', 'French', 'German']","MicroProse Software, Inc","Atari,Nightdive Studios"
676130,Without Within 3 (初衷),2018-05-03,2018,InvertMouse,Sydney,NSW,New South Wales,Studio,,4.99,10000.0,0,83,3,86,96.5,,0,0,0,True,True,True,Indie,"Single-player,Steam Achievements,Family Sharing","Indie,Visual Novel,Anime","['English', 'Simplified Chinese', 'Traditional Chinese']",InvertMouse,InvertMouse
